ASV,Timepoint,treatment_diff,Treatment,condval,Taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species,ASV_ID,label,plastic_present,mode
9bf0c39a102aa5380d2057f2b5c6ea1d,T4,-0.1351599737,ambient,-0.009361163711,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV3000,Aplanochytrium (ASV3000),N,heterotroph
9bf0c39a102aa5380d2057f2b5c6ea1d,T4,-0.1351599737,stress,-0.1445211374,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV3000,Aplanochytrium (ASV3000),N,heterotroph
9bf0c39a102aa5380d2057f2b5c6ea1d,T5,-0.1389292298,ambient,-0.009118001009,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV3000,Aplanochytrium (ASV3000),N,heterotroph
9bf0c39a102aa5380d2057f2b5c6ea1d,T5,-0.1389292298,stress,-0.1480472308,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV3000,Aplanochytrium (ASV3000),N,heterotroph
9bf0c39a102aa5380d2057f2b5c6ea1d,T6,-0.3295370878,ambient,-0.0096881215,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV3000,Aplanochytrium (ASV3000),N,heterotroph
9bf0c39a102aa5380d2057f2b5c6ea1d,T6,-0.3295370878,stress,-0.3392252093,Straminipila;Labyrinthulidia;Labyrinthulomycetes;Labyrinthulales;Aplanochytriaceae;Aplanochytrium;.;pass,Straminipila,Labyrinthulidia,Labyrinthulomycetes,Labyrinthulales,Aplanochytriaceae,Aplanochytrium,.;pass,ASV3000,Aplanochytrium (ASV3000),N,heterotroph
52463b0cc1852887c90a5759c5cb0992,T0,1.107098472,ambient,-0.1251274106,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillaceae,,ASV3446,Aspergillaceae (ASV3446),N,heterotroph
52463b0cc1852887c90a5759c5cb0992,T0,1.107098472,stress,0.9819710619,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillaceae,,ASV3446,Aspergillaceae (ASV3446),N,heterotroph
52463b0cc1852887c90a5759c5cb0992,T1,-0.04007952832,ambient,-0.00995377145,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillaceae,,ASV3446,Aspergillaceae (ASV3446),N,heterotroph
52463b0cc1852887c90a5759c5cb0992,T1,-0.04007952832,stress,-0.05003329977,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillaceae,,ASV3446,Aspergillaceae (ASV3446),N,heterotroph
52463b0cc1852887c90a5759c5cb0992,T2,-0.03460643406,ambient,-0.008365661015,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillaceae,,ASV3446,Aspergillaceae (ASV3446),N,heterotroph
52463b0cc1852887c90a5759c5cb0992,T2,-0.03460643406,stress,-0.04297209507,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillaceae,,ASV3446,Aspergillaceae (ASV3446),N,heterotroph
52463b0cc1852887c90a5759c5cb0992,T3,-0.03042675969,ambient,-0.009761179673,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillaceae,,ASV3446,Aspergillaceae (ASV3446),N,heterotroph
52463b0cc1852887c90a5759c5cb0992,T3,-0.03042675969,stress,-0.04018793936,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillaceae,,ASV3446,Aspergillaceae (ASV3446),N,heterotroph
52463b0cc1852887c90a5759c5cb0992,T4,-0.01835341122,ambient,-0.01304381326,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillaceae,,ASV3446,Aspergillaceae (ASV3446),N,heterotroph
52463b0cc1852887c90a5759c5cb0992,T4,-0.01835341122,stress,-0.03139722449,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillaceae,,ASV3446,Aspergillaceae (ASV3446),N,heterotroph
52463b0cc1852887c90a5759c5cb0992,T5,-0.04554329407,ambient,-0.01207979641,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillaceae,,ASV3446,Aspergillaceae (ASV3446),N,heterotroph
52463b0cc1852887c90a5759c5cb0992,T5,-0.04554329407,stress,-0.05762309048,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillaceae,,ASV3446,Aspergillaceae (ASV3446),N,heterotroph
52463b0cc1852887c90a5759c5cb0992,T6,-0.09809777036,ambient,-0.01675974913,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillaceae,,ASV3446,Aspergillaceae (ASV3446),N,heterotroph
52463b0cc1852887c90a5759c5cb0992,T6,-0.09809777036,stress,-0.1148575195,Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillaceae,,ASV3446,Aspergillaceae (ASV3446),N,heterotroph
8bed6fd8ff9a99f26539e033368a0454,T0,0.07123518463,ambient,0.1120930741,Alveolata;Ciliophora;Spirotrichea;Euplotida;Aspidiscidae;Aspidisca,Alveolata,Ciliophora,Spirotrichea,Euplotida,Aspidiscidae,Aspidisca,,ASV4774,Aspidisca (ASV4774),N,heterotroph
8bed6fd8ff9a99f26539e033368a0454,T0,0.07123518463,stress,0.1833282587,Alveolata;Ciliophora;Spirotrichea;Euplotida;Aspidiscidae;Aspidisca,Alveolata,Ciliophora,Spirotrichea,Euplotida,Aspidiscidae,Aspidisca,,ASV4774,Aspidisca (ASV4774),N,heterotroph
8bed6fd8ff9a99f26539e033368a0454,T1,0.1502607852,ambient,0.4744544969,Alveolata;Ciliophora;Spirotrichea;Euplotida;Aspidiscidae;Aspidisca,Alveolata,Ciliophora,Spirotrichea,Euplotida,Aspidiscidae,Aspidisca,,ASV4774,Aspidisca (ASV4774),N,heterotroph
8bed6fd8ff9a99f26539e033368a0454,T1,0.1502607852,stress,0.624715282,Alveolata;Ciliophora;Spirotrichea;Euplotida;Aspidiscidae;Aspidisca,Alveolata,Ciliophora,Spirotrichea,Euplotida,Aspidiscidae,Aspidisca,,ASV4774,Aspidisca (ASV4774),N,heterotroph
8bed6fd8ff9a99f26539e033368a0454,T2,1.194393061,ambient,-0.3428750187,Alveolata;Ciliophora;Spirotrichea;Euplotida;Aspidiscidae;Aspidisca,Alveolata,Ciliophora,Spirotrichea,Euplotida,Aspidiscidae,Aspidisca,,ASV4774,Aspidisca (ASV4774),N,heterotroph
8bed6fd8ff9a99f26539e033368a0454,T2,1.194393061,stress,0.8515180419,Alveolata;Ciliophora;Spirotrichea;Euplotida;Aspidiscidae;Aspidisca,Alveolata,Ciliophora,Spirotrichea,Euplotida,Aspidiscidae,Aspidisca,,ASV4774,Aspidisca (ASV4774),N,heterotroph
8bed6fd8ff9a99f26539e033368a0454,T3,-1.007087523,ambient,0.6165739499,Alveolata;Ciliophora;Spirotrichea;Euplotida;Aspidiscidae;Aspidisca,Alveolata,Ciliophora,Spirotrichea,Euplotida,Aspidiscidae,Aspidisca,,ASV4774,Aspidisca (ASV4774),N,heterotroph
8bed6fd8ff9a99f26539e033368a0454,T3,-1.007087523,stress,-0.3905135727,Alveolata;Ciliophora;Spirotrichea;Euplotida;Aspidiscidae;Aspidisca,Alveolata,Ciliophora,Spirotrichea,Euplotida,Aspidiscidae,Aspidisca,,ASV4774,Aspidisca (ASV4774),N,heterotroph
8bed6fd8ff9a99f26539e033368a0454,T4,0.8836453571,ambient,-0.3187561465,Alveolata;Ciliophora;Spirotrichea;Euplotida;Aspidiscidae;Aspidisca,Alveolata,Ciliophora,Spirotrichea,Euplotida,Aspidiscidae,Aspidisca,,ASV4774,Aspidisca (ASV4774),N,heterotroph
8bed6fd8ff9a99f26539e033368a0454,T4,0.8836453571,stress,0.5648892106,Alveolata;Ciliophora;Spirotrichea;Euplotida;Aspidiscidae;Aspidisca,Alveolata,Ciliophora,Spirotrichea,Euplotida,Aspidiscidae,Aspidisca,,ASV4774,Aspidisca (ASV4774),N,heterotroph
8bed6fd8ff9a99f26539e033368a0454,T5,-0.1639630344,ambient,0.3747969713,Alveolata;Ciliophora;Spirotrichea;Euplotida;Aspidiscidae;Aspidisca,Alveolata,Ciliophora,Spirotrichea,Euplotida,Aspidiscidae,Aspidisca,,ASV4774,Aspidisca (ASV4774),N,heterotroph
8bed6fd8ff9a99f26539e033368a0454,T5,-0.1639630344,stress,0.2108339369,Alveolata;Ciliophora;Spirotrichea;Euplotida;Aspidiscidae;Aspidisca,Alveolata,Ciliophora,Spirotrichea,Euplotida,Aspidiscidae,Aspidisca,,ASV4774,Aspidisca (ASV4774),N,heterotroph
8bed6fd8ff9a99f26539e033368a0454,T6,-0.2167094732,ambient,-0.1243781891,Alveolata;Ciliophora;Spirotrichea;Euplotida;Aspidiscidae;Aspidisca,Alveolata,Ciliophora,Spirotrichea,Euplotida,Aspidiscidae,Aspidisca,,ASV4774,Aspidisca (ASV4774),N,heterotroph
8bed6fd8ff9a99f26539e033368a0454,T6,-0.2167094732,stress,-0.3410876623,Alveolata;Ciliophora;Spirotrichea;Euplotida;Aspidiscidae;Aspidisca,Alveolata,Ciliophora,Spirotrichea,Euplotida,Aspidiscidae,Aspidisca,,ASV4774,Aspidisca (ASV4774),N,heterotroph
d12ab7218623ae6ab5e4eca1c05587fd,T0,-0.1732699079,ambient,-0.01540185431,Straminipila;Bacillariophyta;Bacillariophyceae,Straminipila,Bacillariophyta,Bacillariophyceae,NA,NA,Bacillariophyceae,,ASV3078,Bacillariophyceae (ASV3078),Y,autotroph
d12ab7218623ae6ab5e4eca1c05587fd,T0,-0.1732699079,stress,-0.1886717622,Straminipila;Bacillariophyta;Bacillariophyceae,Straminipila,Bacillariophyta,Bacillariophyceae,NA,NA,Bacillariophyceae,,ASV3078,Bacillariophyceae (ASV3078),Y,autotroph
d12ab7218623ae6ab5e4eca1c05587fd,T1,-0.1220373688,ambient,-0.008404663382,Straminipila;Bacillariophyta;Bacillariophyceae,Straminipila,Bacillariophyta,Bacillariophyceae,NA,NA,Bacillariophyceae,,ASV3078,Bacillariophyceae (ASV3078),Y,autotroph
d12ab7218623ae6ab5e4eca1c05587fd,T1,-0.1220373688,stress,-0.1304420322,Straminipila;Bacillariophyta;Bacillariophyceae,Straminipila,Bacillariophyta,Bacillariophyceae,NA,NA,Bacillariophyceae,,ASV3078,Bacillariophyceae (ASV3078),Y,autotroph
